category,url
data_analyst,https://www.vietnamworks.com/ai-and-machine-learning-engineer-e-commerce-1988587-jv?source=searchResults&searchType=2&placement=1988887&sortBy=relevance
data_analyst,https://www.vietnamworks.com/chuyen-vien-nhom-khach-hang-qua-pool-va-so-lieu-ban-bao-hiem-y-te-1980756-jv?source=searchResults&searchType=2&placement=1981056&sortBy=relevance
data_analyst,https://www.vietnamworks.com/operations-analyst-1979808-jv?source=searchResults&searchType=2&placement=1980108&sortBy=relevance
data_analyst,https://www.vietnamworks.com/ki-su-du-lieu-data-engineer-1992096-jv?source=searchResults&searchType=2&placement=1992396&sortBy=relevance
data_analyst,https://www.vietnamworks.com/chuyen-gia-phan-tich-va-giai-phap-thu-hoi-no-1988648-jv?source=searchResults&searchType=2&placement=1988948&sortBy=relevance
data_analyst,https://www.vietnamworks.com/head-of-vpbank-enterprise-data-and-analytics-division-id671-1974977-jv?source=searchResults&searchType=2&placement=1975277&sortBy=relevance
data_analyst,https://www.vietnamworks.com/group-chief-data-scientist-id661-1991046-jv?source=searchResults&searchType=2&placement=1991346&sortBy=relevance
data_analyst,https://www.vietnamworks.com/data-engineer-khoi-cong-nghe-thong-tin-ho25-458-1985831-jv?source=searchResults&searchType=2&placement=1986131&sortBy=relevance
data_analyst,https://www.vietnamworks.com/tmo-data-architect-manager-1981163-jv?source=searchResults&searchType=2&placement=1981463&sortBy=relevance
data_analyst,https://www.vietnamworks.com/ai-engineer-3-years-experience-1975571-jv?source=searchResults&searchType=2&placement=1975871&sortBy=relevance
data_analyst,https://www.vietnamworks.com/visual-designer-ai-1993736-jv?source=searchResults&searchType=2&placement=1994036&sortBy=relevance
data_analyst,https://www.vietnamworks.com/head-of-data-architecture-and-governance-department-1990932-jv?source=searchResults&searchType=2&placement=1991282&sortBy=relevance
data_analyst,https://www.vietnamworks.com/unit-head-of-data-science-1985737-jv?source=searchResults&searchType=2&placement=1986087&sortBy=relevance
data_analyst,https://www.vietnamworks.com/senior-data-engineer-1980947-jv?source=searchResults&searchType=2&placement=1981297&sortBy=relevance
data_analyst,https://www.vietnamworks.com/senior-data-engineer-up-to-55mil-vnd-1991058-jv?source=searchResults&searchType=2&placement=1991408&sortBy=relevance
data_analyst,https://www.vietnamworks.com/ai-engineer-1984633-jv?source=searchResults&searchType=2&placement=1984983&sortBy=relevance
data_analyst,https://www.vietnamworks.com/ai-engineer-1984009-jv?source=searchResults&searchType=2&placement=1984359&sortBy=relevance
data_analyst,https://www.vietnamworks.com/bi-data-solutions-architect-data-platform-1989665-jv?source=searchResults&searchType=2&placement=1990015&sortBy=relevance
